sociedad_sap,fondo_sap,centro_gestor_sap,pospre_sap,cuenta_sap,acreedor_sap,contrato_sap,proveedor,rfc_proveedor,lugar_servicio_id,numero_contrato,nombre_contrato,plurianual,tipo_entrega,moneda_documento,numero_oficio_tramite,fecha_oficio_tramite,numero_factura,fecha_factura,periodo_contable,estimado,concepto,importe_moneda_original,iva_moneda_original,total_moneda_original,numero_documento_pasivo,fecha_contable_pasivo,tc_contable_pasivo,importe_pasivo_mxn,iva_pasivo_mxn,total_pasivo_mxn,reviso,comentarios
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"F 1039, F 1038",,,,GNI,,0,0,180000140,22/01/2018,,147201981.3,23552317.02,170754298.4,,
N000,A01,N332,7249,468079,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,1804,,,,CFT,7832847.422,1253255.588,9086103.01,180003663,07/09/2018,,7832847.422,1253255.588,9086103.01,cynthia,
N000,A01,N332,7249,468079,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,1934,,,,CFT,3385826.07,541732.1712,3927558.241,180003496,27/08/2018,,3385826.07,541732.1712,3927558.241,cynthia,
N000,A01,N332,7249,468079,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,461,,,,CFT,4642053.98,742728.6368,5384782.617,180003496,27/08/2018,,4642053.98,742728.6368,5384782.617,cynthia,
N000,A01,N332,7249,468079,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2012,,,,CFT,2337595.14,374015.2224,2711610.362,180004001,08/10/2018,,2337595.14,374015.2224,2711610.362,cynthia,
N000,A01,N332,7249,468079,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,566,,,,CFT,4398881.92,703821.1072,5102703.027,180004001,08/10/2018,,4398881.92,703821.1072,5102703.027,cynthia,
N000,A01,N332,7237,468074,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"11,621,089",,,,GNI,,0,0,180000338,13/02/2018,,179179834.8,28668773.57,207848608.4,,
N000,A01,N332,7237,468074,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"11,621,089",,,,GNI,,0,0,180000338,13/02/2018,,179179834.8,28668773.57,207848608.4,,
N000,A01,N332,7237,468074,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1243,NC211",,,,GNI,,0,0,180000862,16/03/2018,,109340938.1,17494550.1,126835488.2,,
N000,A01,N332,7237,468074,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1243,NC211",,,,GNI,,0,0,180000862,16/03/2018,,109340938.1,17494550.1,126835488.2,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1421, 1338",,,,GNI,,0,0,180001174,16/04/2018,,110695308,17711249.29,128406557.3,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1421, 1338",,,,GNI,,0,0,180001174,16/04/2018,,110695308,17711249.29,128406557.3,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1535, 1465,NC312",,,,GNI,,0,0,180001648, 14/05/2018,,134226984.8,21476317.57,155703302.4,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1592, NC336",,,,GNI,,0,0,180002054,43259,,150041108.3,24006577.33,174047685.6,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1592, NC336",,,,GNI,,0,0,180002054,43259,,150041108.3,24006577.33,174047685.6,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1759, 1787, NC380",,,,GNI,,0,0,180002757,06/07/2018,,156690850.2,25070536.03,181761386.2,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1759, 1787, NC380",,,,GNI,,0,0,180002757,06/07/2018,,156690850.2,25070536.03,181761386.2,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1919, NC461, NC454",,,,GNI,,0,0,180003267,09/08/2018,,145203005.5,23232480.89,168435486.4,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"1919, NC461, NC454",,,,GNI,,0,0,180003267,09/08/2018,,145203005.5,23232480.89,168435486.4,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2095, 2131, NC522",,,,GNI,,0,0,180003808,14/09/2018,,148459573.6,23753531.78,172213105.4,,
N000,A01,N332,7237,468074,9011030,800835382,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2095, 2131, NC522",,,,GNI,,0,0,180003808,14/09/2018,,148459573.6,23753531.78,172213105.4,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2205,2266,NC582",,,,GNI,,0,0,180004153,18/10/2018,,145853766.7,23336602.66,169190369.3,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2469,2569,NC645,680",,,,GNI,,0,0,180004524,13/11/2018,,159477924,25516467.84,184994391.8,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2469,2569,NC645,680",,,,GNI,,0,0,180004524,13/11/2018,,159477924,25516467.84,184994391.8,,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2343,,,,CFT,13465144.39,2154423.102,15619567.49,180004733,30/11/2018,,13465144.39,2154423.102,15619567.49,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2496,,,,CFT,8015182.64,1282429.222,9297611.862,180004723,30/11/2018,,8015182.64,1282429.222,9297611.862,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2505,,,,CFT,7370414.96,1179266.394,8549681.354,180004723,30/11/2018,,7370414.96,1179266.394,8549681.354,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2514,,,,CFT,6807545.2,1089207.232,7896752.432,180004723,30/11/2018,,6807545.2,1089207.232,7896752.432,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2590,,,,CFT,9763176.08,1562108.173,11325284.25,180004723,30/112018,,9763176.08,1562108.173,11325284.25,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2936,,,,CFT,10060030.08,1609604.812,11669634.89,180000149,21/01/2019,,10060030.08,1609604.812,11669634.89,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,720,,,,CFT,2721292.16,435406.7456,3156698.906,180004683,43430,,2721292.16,435406.7456,3156698.906,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,669,,,,CFT,4398881.92,703821.1072,5102703.027,180004683,43430,,4398881.92,703821.1072,5102703.027,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2625,,,,CFT,24174301.99,3867888.319,28042190.31,180004843,43441,,24174301.99,3867888.319,28042190.31,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,NC 67,,,,CFT,-11480289.77,-1836846.363,-13317136.13,180004683,43430,,-11480289.77,-1836846.363,-13317136.13,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,792,,,,CFT,48224801.69,7715968.27,55940769.96,180004683,43430,,48224801.69,7715968.27,55940769.96,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,NC 118,,,,CFT,-4832428.957,-773188.6331,-5605617.59,180004683,43430,,-4832428.957,-773188.6331,-5605617.59,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,996,,,,CFT,57450503.06,9192080.49,66642583.55,180004683,43430,,57450503.06,9192080.49,66642583.55,cynthia,
N000,A01,N332,7A19,305190,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2998,NC 840",,,,GNI,150366337.9,24058614.06,174424951.9,180000307,43508,,150366337.9,24058614.06,174424951.9,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2687,2759, NC709",,,,GNI,176879226.4,28300676.22,205179902.6,180004896,43445,,176879226.4,28300676.22,205179902.6,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2687,2759, NC709",,,,GNI,176879226.4,28300676.22,205179902.6,180004896,43445,,176879226.4,28300676.22,205179902.6,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2883,NC801,NC763,NC802",,,,GNI,197194515.4,31551122.46,228745637.8,180000083,43476,,197194515.4,31551122.46,228745637.8,,
N000,A01,N332,7A19,305190,9011030,700496486,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"2883,NC801,NC763,NC802",,,,GNI,197194515.4,31551122.46,228745637.8,180000083,43476,,197194515.4,31551122.46,228745637.8,,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2359,,,,CFT,12304388.64,1968702.182,14273090.82,180005071,43465,,12304388.64,1968702.182,14273090.82,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2371,,,,CFT,9042610.759,1446817.721,10489428.48,180005072,43465,,9042610.759,1446817.721,10489428.48,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2399,,,,CFT,8332752.491,1333240.399,9665992.89,180005073,43465,,8332752.491,1333240.399,9665992.89,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2458,,,,CFT,8293312.828,1326930.052,9620242.88,180005074,43465,,8293312.828,1326930.052,9620242.88,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2486,,,,CFT,7943912.862,1271026.058,9214938.92,180005075,43465,,7943912.862,1271026.058,9214938.92,cynthia,
N000,A01,N332,7A24,468094,9011030,800861752,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,2707,,,,CFT,7810923.009,1249747.681,9060670.69,180004905,43446,,7810923.009,1249747.681,9060670.69,cynthia,
N000,A01,N332,7A19,410612,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,2998,,,,GNI,152042754.4,24326840.7,176369595.1,180000307,43508,,152042754.4,24326840.7,176369595.1,AVQ,
N000,A01,N332,7A19,410612,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,NC 840,,,,GNI,-1676416.5,-268226.64,-1944643.14,180000307,43508,,-1676416.5,-268226.64,-1944643.14,AVQ,
N000,A01,N332,7A19,410612,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3134,,,,GNI,125528465.7,20084554.51,145613020.2,180000548,43535,,125528465.7,20084554.51,145613020.2,AVQ,
N000,A01,N332,7A19,410612,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3187,,,,GNI,1881489.302,301038.2883,2182527.59,180000548,43535,,1881489.302,301038.2883,2182527.59,AVQ,
N000,A01,N332,7A19,410612,9011030,801044083,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,NC 862,,,,GNI,-2905246.112,-464839.3779,-3370085.49,180000548,43535,,-2905246.112,-464839.3779,-3370085.49,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3308,,,,GNI,163484562.3,26157529.97,189642092.3,180000751,43563,,163484562.3,26157529.97,189642092.3,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,NC 923,,,,GNI,-1239506.397,-198321.0234,-1437827.42,180000751,43563,,-1239506.397,-198321.0234,-1437827.42,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,NC 906,,,,GNI,-713859.9397,-114217.5903,-828077.53,180000751,43563,,-713859.9397,-114217.5903,-828077.53,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3467,,,,GNI,54941186,8790589.76,63731775.76,180001047,43598,,54941186,8790589.76,63731775.76,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3532,,,,GNI,4566471,730635.36,5297106.36,180001047,43598,,4566471,730635.36,5297106.36,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,NC 962,,,,GNI,-6550264.095,-1048042.255,-7598306.35,180001047,43598,,-6550264.095,-1048042.255,-7598306.35,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,NC 986,,,,GNI,-6130903.698,-980944.5917,-7111848.29,180001047,43598,,-6130903.698,-980944.5917,-7111848.29,AVQ,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"3641,NC 1007,NC 1017,NC 1016",,,,GNI,128285181,20525628.97,148810810,180001290,43623,,128285181,20525628.97,148810810,,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"3836,NC 1064,NC 1053,NC 1065",,,,GNI,124025514.9,19844082.39,143869597.3,180001625,43655,,124025514.9,19844082.39,143869597.3,,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"3991,NC 1126,NC 1109,",,,,GNI,128915117,20626418.72,149541535.7,180001903,43684,,128915117,20626418.72,149541535.7,,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"4148,NC 1180,,",,,,GNI,122740207,19638433.12,142378640.1,180002226,43714,,122740207,19638433.12,142378640.1,,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"4285,NC 1208,,",,,,GNI,122811123.5,19649779.75,142460903.2,180002543,43746,,122811123.5,19649779.75,142460903.2,,
N000,A01,N332,7A19,410612,9011030,700497475,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,"4423,NC 1245,,",,,,GNI,108606473.3,17377035.74,125983509.1,180002873,43776,,108606473.3,17377035.74,125983509.1,,
N000,A01,N332,7A24,468094,9011030,800874258,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3220,,,,CFT,8954147.974,1432663.676,10386811.65,180000896,43580,,8954147.974,1432663.676,10386811.65,cynthia,
N000,A01,N332,7A24,468094,9011030,800874258,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3232,,,,CFT,7931079.879,1268972.781,9200052.66,180000846,43567,,7931079.879,1268972.781,9200052.66,cynthia,
N000,A01,N332,7A24,468094,9011030,800874258,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,No cuenta con N° de Oficio,,3686,,,,CFT,9374213.552,1499874.168,10874087.72,180001511,43643,,9374213.552,1499874.168,10874087.72,cynthia,
N000,A01,N332,7A24,468094,9011030,800874258,CFENERGIA,CFE150811HZ7,MEX,CONTRATO DE SUMINISTRO DE GAS ,CONTRATO DE SUMINISTRO DE GAS ,No Aplica,,MXN,,,3697,,,,CFT,2952688.422,472430.1476,3425118.57,180001511,43643,,2952688.422,472430.1476,3425118.57,cynthia,
